C(%);Mn(%);Si(%);S(%);P(%);Ti(ppm);B(ppm);Al(ppm);N(ppm);O(ppm);Cr(%);Ni(%);Mo(%);V(ppm);Cu(%);Nb(ppm);Temp;Joule
0.078;0.68;0.38;0.009;0.007;160;2;5;69;340;0.03;0.03;0.005;5;0.03;5;-60;22
0.079;0.73;0.44;0.006;0.008;240;2;5;69;290;0.03;0.03;0.005;5;0.03;5;-80;4
0.079;0.73;0.44;0.006;0.008;240;2;5;69;290;0.03;0.03;0.005;5;0.03;5;-70;9
0.079;0.73;0.44;0.006;0.008;240;2;5;69;290;0.03;0.03;0.005;5;0.03;5;-60;38
0.068;0.62;0.28;0.008;0.007;5;2;5;73;477;0.03;0.03;0.005;5;0.5;5;-80;48
0.068;0.62;0.28;0.008;0.007;5;2;5;73;477;0.03;0.03;0.005;5;0.5;5;-70;81
0.068;0.62;0.28;0.008;0.007;5;2;5;73;477;0.03;0.03;0.005;5;0.5;5;-60;110
0.063;0.64;0.3;0.008;0.008;43;2;5;74;453;0.03;0.03;0.005;5;0.53;5;-80;50
0.063;0.64;0.3;0.008;0.008;43;2;5;74;453;0.03;0.03;0.005;5;0.53;5;-70;74
0.063;0.64;0.3;0.008;0.008;43;2;5;74;453;0.03;0.03;0.005;5;0.53;5;-60;106
0.065;0.64;0.31;0.007;0.008;98;2;5;83;390;0.03;0.03;0.005;5;0.51;5;-80;13
0.065;0.64;0.31;0.007;0.008;98;2;5;83;390;0.03;0.03;0.005;5;0.51;5;-70;34
0.065;0.64;0.31;0.007;0.008;98;2;5;83;390;0.03;0.03;0.005;5;0.51;5;-60;54
0.069;0.63;0.32;0.007;0.01;170;2;5;70;369;0.03;0.03;0.005;5;0.49;5;-80;6
0.069;0.63;0.32;0.007;0.01;170;2;5;70;369;0.03;0.03;0.005;5;0.49;5;-70;40
0.069;0.63;0.32;0.007;0.01;170;2;5;70;369;0.03;0.03;0.005;5;0.49;5;-60;71
0.074;0.62;0.34;0.005;0.009;220;2;5;75;330;0.03;0.03;0.005;5;0.49;5;-80;14
0.074;0.62;0.34;0.005;0.009;220;2;5;75;330;0.03;0.03;0.005;5;0.49;5;-70;37
0.074;0.62;0.34;0.005;0.009;220;2;5;75;330;0.03;0.03;0.005;5;0.49;5;-60;74
0.065;0.62;0.3;0.007;0.009;4;2;5;72;519;0.03;0.03;0.005;5;1.03;5;-80;41
0.065;0.62;0.3;0.007;0.009;4;2;5;72;519;0.03;0.03;0.005;5;1.03;5;-70;64
0.065;0.62;0.3;0.007;0.009;4;2;5;72;519;0.03;0.03;0.005;5;1.03;5;-60;88
0.064;0.63;0.3;0.007;0.007;42;2;5;65;456;0.03;0.03;0.005;5;1.05;5;-80;58
