C(%);Mn(%);Si(%);S(%);P(%);Ti(ppm);B(ppm);Al(ppm);N(ppm);O(ppm);Cr(%);Ni(%);Mo(%);V(ppm);Cu(%);Nb(ppm);Temp;Charpy
0.076;1.42;0.49;0.005;0.01;55;2;470;191;364;0.03;0.03;0.005;5;0.03;5;-10;72
0.076;1.42;0.49;0.005;0.01;55;2;470;191;364;0.03;0.03;0.005;5;0.03;5;0;98
0.076;1.42;0.49;0.005;0.01;55;2;470;191;364;0.03;0.03;0.005;5;0.03;5;10;126
0.076;1.42;0.49;0.005;0.01;55;2;470;191;364;0.03;0.03;0.005;5;0.03;5;20;139
0.076;1.42;0.49;0.005;0.01;55;2;470;191;364;0.03;0.03;0.005;5;0.03;5;30;144
0.076;1.42;0.49;0.005;0.01;55;2;470;191;364;0.03;0.03;0.005;5;0.03;5;40;146
0.07;1.4;0.54;0.005;0.009;44;2;670;195;362;0.03;0.03;0.005;5;0.03;5;-120;22
0.07;1.4;0.54;0.005;0.009;44;2;670;195;362;0.03;0.03;0.005;5;0.03;5;-110;23
0.07;1.4;0.54;0.005;0.009;44;2;670;195;362;0.03;0.03;0.005;5;0.03;5;-100;24
0.07;1.4;0.54;0.005;0.009;44;2;670;195;362;0.03;0.03;0.005;5;0.03;5;-90;25
0.07;1.4;0.54;0.005;0.009;44;2;670;195;362;0.03;0.03;0.005;5;0.03;5;-80;26
0.07;1.4;0.54;0.005;0.009;44;2;670;195;362;0.03;0.03;0.005;5;0.03;5;-70;26
0.07;1.4;0.54;0.005;0.009;44;2;670;195;362;0.03;0.03;0.005;5;0.03;5;-60;27
0.07;1.4;0.54;0.005;0.009;44;2;670;195;362;0.03;0.03;0.005;5;0.03;5;-50;30
0.07;1.4;0.54;0.005;0.009;44;2;670;195;362;0.03;0.03;0.005;5;0.03;5;-40;34
0.07;1.4;0.54;0.005;0.009;44;2;670;195;362;0.03;0.03;0.005;5;0.03;5;-30;41
0.07;1.4;0.54;0.005;0.009;44;2;670;195;362;0.03;0.03;0.005;5;0.03;5;-20;51
0.07;1.4;0.54;0.005;0.009;44;2;670;195;362;0.03;0.03;0.005;5;0.03;5;-10;70
0.07;1.4;0.54;0.005;0.009;44;2;670;195;362;0.03;0.03;0.005;5;0.03;5;0;96
0.07;1.4;0.54;0.005;0.009;44;2;670;195;362;0.03;0.03;0.005;5;0.03;5;10;120
0.07;1.4;0.54;0.005;0.009;44;2;670;195;362;0.03;0.03;0.005;5;0.03;5;20;138
