C(%);Mn(%);Si(%);S(%);P(%);Ti(ppm);B(ppm);Al(ppm);N(ppm);O(ppm);Cr(%);Ni(%);Mo(%);V(ppm);Cu(%);Nb(ppm);-120;-110;-100;-90;-80;-70;-60;-50;-40;-30;-20;-10;0;10;20;30;40
0.07;1.48;0.43;0.007;0.01;260;21;5;70;314;0.03;0.03;0.005;5;0.03;5;2;2;9;39;70;107;139;177;194;221;232;234;234;234;234;234;234
0.07;1.53;0.42;0.007;0.009;290;46;5;69;292;0.03;0.03;0.005;5;0.03;5;3;4;11;86;110;140;165;180;194;204;211;214;216;216;216;216;216
0.066;1.45;0.39;0.006;0.008;270;91;5;75;255;0.03;0.03;0.005;5;0.03;5;4;6;15;53;102;134;163;180;190;198;204;208;211;212;213;214;214
0.074;1.42;0.38;0.006;0.009;270;126;5;72;269;0.03;0.03;0.005;5;0.03;5;2;2;6;35;70;98;122;146;166;180;191;200;206;206;208;208;208
0.069;1.36;0.37;0.007;0.009;250;169;5;63;253;0.03;0.03;0.005;5;0.03;5;1;2;2;6;26;50;74;104;128;149;166;178;187;192;195;196;197
0.069;1.47;0.45;0.005;0.006;410;2;5;77;282;0.03;0.03;0.005;5;0.03;5;2;3;4;10;38;75;114;150;178;192;202;212;219;223;226;226;226
0.077;1.56;0.39;0.006;0.011;400;14;5;68;286;0.03;0.03;0.005;5;0.03;5;3;6;12;54;94;133;154;170;186;202;208;224;226;227;227;227;227
0.074;1.5;0.39;0.006;0.009;410;29;5;72;275;0.03;0.03;0.005;5;0.03;5;2;9;38;72;106;139;159;169;177;184;192;200;207;213;213;213;213
0.075;1.49;0.37;0.006;0.01;370;41;5;69;282;0.03;0.03;0.005;5;0.03;5;14;39;63;86;110;130;150;170;186;199;210;220;229;232;234;234;234
0.075;1.5;0.4;0.006;0.01;390;51;5;85;297;0.03;0.03;0.005;5;0.03;5;8;22;47;76;109;137;159;170;179;189;198;206;214;219;222;224;224
0.077;1.53;0.42;0.006;0.01;430;108;5;79;298;0.03;0.03;0.005;5;0.03;5;8;11;20;49;60;79;106;134;160;180;194;198;198;198;198;198;198
0.073;1.52;0.4;0.006;0.011;390;158;5;84;290;0.03;0.03;0.005;5;0.03;5;3;4;6;10;28;51;81;110;136;154;172;188;201;208;212;214;216
0.074;1.5;0.47;0.006;0.01;580;1;5;75;292;0.03;0.03;0.005;5;0.03;5;6;6;7;10;14;24;76;124;155;171;182;194;204;212;218;223;226
0.073;1.54;0.48;0.006;0.01;520;32;5;84;294;0.03;0.03;0.005;5;0.03;5;6;14;35;62;89;114;134;150;164;175;184;192;197;201;202;202;202
