Ti(ppm);B(ppm);Al(ppm);N(ppm);O(ppm);Temp;Charpy
420;2;150;65;446;-70;36
420;2;150;65;446;-60;78
420;2;150;65;446;-50;130
420;2;150;65;446;-40;170
420;2;150;65;446;-30;186
420;2;150;65;446;-20;195
420;2;150;65;446;-10;202
420;2;150;65;446;0;208
420;2;150;65;446;10;214
420;2;150;65;446;20;221
420;2;150;65;446;30;224
420;2;150;65;446;40;226
460;2;300;67;466;-120;13
460;2;300;67;466;-110;14
460;2;300;67;466;-100;14
460;2;300;67;466;-90;15
460;2;300;67;466;-80;16
460;2;300;67;466;-70;18
460;2;300;67;466;-60;42
460;2;300;67;466;-50;93
460;2;300;67;466;-40;126
460;2;300;67;466;-30;139
460;2;300;67;466;-20;150
460;2;300;67;466;-10;160
460;2;300;67;466;0;170
460;2;300;67;466;10;178
460;2;300;67;466;20;187
460;2;300;67;466;30;198
460;2;300;67;466;40;206
460;2;420;58;439;-120;2
460;2;420;58;439;-110;2
460;2;420;58;439;-100;2
460;2;420;58;439;-90;3
460;2;420;58;439;-80;6
460;2;420;58;439;-70;15
460;2;420;58;439;-60;35
460;2;420;58;439;-50;70
460;2;420;58;439;-40;111
460;2;420;58;439;-30;143
460;2;420;58;439;-20;158
460;2;420;58;439;-10;170
460;2;420;58;439;0;181
460;2;420;58;439;10;191
460;2;420;58;439;20;202
460;2;420;58;439;30;206
460;2;420;58;439;40;210
450;2;500;60;451;-120;6
450;2;500;60;451;-110;6
450;2;500;60;451;-100;6
450;2;500;60;451;-90;10
450;2;500;60;451;-80;22
450;2;500;60;451;-70;38
450;2;500;60;451;-60;59
450;2;500;60;451;-50;84
450;2;500;60;451;-40;110
450;2;500;60;451;-30;133
450;2;500;60;451;-20;155
450;2;500;60;451;-10;168
450;2;500;60;451;0;174
450;2;500;60;451;10;176
450;2;500;60;451;20;176
450;2;500;60;451;30;176
450;2;500;60;451;40;176
5;2;5;93;448;-120;6
5;2;5;93;448;-110;6
5;2;5;93;448;-100;6
5;2;5;93;448;-90;7
5;2;5;93;448;-80;8
5;2;5;93;448;-70;11
5;2;5;93;448;-60;17
5;2;5;93;448;-50;21
5;2;5;93;448;-40;29
5;2;5;93;448;-30;69
5;2;5;93;448;-20;109
5;2;5;93;448;-10;122
5;2;5;93;448;0;130
5;2;5;93;448;10;135
5;2;5;93;448;20;142
5;2;5;93;448;30;144
5;2;5;93;448;40;146
5;1;5;94;449;-120;3
5;1;5;94;449;-110;4
5;1;5;94;449;-100;6
5;1;5;94;449;-90;6
5;1;5;94;449;-80;7
5;1;5;94;449;-70;9
5;1;5;94;449;-60;14
5;1;5;94;449;-50;24
5;1;5;94;449;-40;43
5;1;5;94;449;-30;68
5;1;5;94;449;-20;90
5;1;5;94;449;-10;110
5;1;5;94;449;0;133
5;1;5;94;449;10;155
5;1;5;94;449;20;178
5;1;5;94;449;30;182
5;1;5;94;449;40;182
2;16;5;86;456;-120;1
2;16;5;86;456;-110;2
2;16;5;86;456;-100;2
2;16;5;86;456;-90;3
2;16;5;86;456;-80;5
2;16;5;86;456;-70;6
2;16;5;86;456;-60;13
2;16;5;86;456;-50;26
2;16;5;86;456;-40;38
2;16;5;86;456;-30;54
2;16;5;86;456;-20;74
2;16;5;86;456;-10;103
2;16;5;86;456;0;126
2;16;5;86;456;10;142
2;16;5;86;456;20;153
2;16;5;86;456;30;162
2;16;5;86;456;40;166
2;28;5;84;452;-120;2
2;28;5;84;452;-110;3
2;28;5;84;452;-100;4
2;28;5;84;452;-90;5
2;28;5;84;452;-80;6
2;28;5;84;452;-70;8
2;28;5;84;452;-60;19
2;28;5;84;452;-50;36
2;28;5;84;452;-40;51
2;28;5;84;452;-30;70
2;28;5;84;452;-20;88
2;28;5;84;452;-10;108
2;28;5;84;452;0;126
2;28;5;84;452;10;144
2;28;5;84;452;20;158
2;28;5;84;452;30;171
2;28;5;84;452;40;178
5;64;5;74;511;-120;4
5;64;5;74;511;-110;5
5;64;5;74;511;-100;6
5;64;5;74;511;-90;6
5;64;5;74;511;-80;10
5;64;5;74;511;-70;18
5;64;5;74;511;-60;34
5;64;5;74;511;-50;52
5;64;5;74;511;-40;70
5;64;5;74;511;-30;87
5;64;5;74;511;-20;102
5;64;5;74;511;-10;117
5;64;5;74;511;0;130
5;64;5;74;511;10;142
5;64;5;74;511;20;155
5;64;5;74;511;30;166
5;64;5;74;511;40;176
5;109;5;63;493;-120;2
5;109;5;63;493;-110;2
5;109;5;63;493;-100;3
5;109;5;63;493;-90;8
5;109;5;63;493;-80;21
5;109;5;63;493;-70;40
5;109;5;63;493;-60;58
5;109;5;63;493;-50;77
5;109;5;63;493;-40;96
5;109;5;63;493;-30;112
5;109;5;63;493;-20;130
5;109;5;63;493;-10;148
5;109;5;63;493;0;165
5;109;5;63;493;10;178
5;109;5;63;493;20;187
5;109;5;63;493;30;196
5;109;5;63;493;40;202
5;146;5;83;489;-120;2
5;146;5;83;489;-110;6
5;146;5;83;489;-100;16
5;146;5;83;489;-90;32
5;146;5;83;489;-80;51
5;146;5;83;489;-70;70
5;146;5;83;489;-60;86
5;146;5;83;489;-50;100
5;146;5;83;489;-40;118
5;146;5;83;489;-30;137
5;146;5;83;489;-20;149
5;146;5;83;489;-10;154
5;146;5;83;489;0;156
5;146;5;83;489;10;156
5;146;5;83;489;20;156
5;146;5;83;489;30;156
5;146;5;83;489;40;156
5;195;5;85;503;-120;3
5;195;5;85;503;-110;6
5;195;5;85;503;-100;10
5;195;5;85;503;-90;16
5;195;5;85;503;-80;24
5;195;5;85;503;-70;34
5;195;5;85;503;-60;51
5;195;5;85;503;-50;70
5;195;5;85;503;-40;88
5;195;5;85;503;-30;107
5;195;5;85;503;-20;125
5;195;5;85;503;-10;141
5;195;5;85;503;0;155
5;195;5;85;503;10;169
5;195;5;85;503;20;175
5;195;5;85;503;30;179
5;195;5;85;503;40;181
5;5;5;145;402;-120;1
5;5;5;145;402;-110;1
5;5;5;145;402;-100;2
5;5;5;145;402;-90;2
5;5;5;145;402;-80;2
5;5;5;145;402;-70;3
5;5;5;145;402;-60;4
5;5;5;145;402;-50;10
5;5;5;145;402;-40;15
5;5;5;145;402;-30;22
5;5;5;145;402;-20;32
5;5;5;145;402;-10;50
5;5;5;145;402;0;81
5;5;5;145;402;10;116
5;5;5;145;402;20;140
5;5;5;145;402;30;163
5;5;5;145;402;40;169
7;160;5;144;396;-120;3
7;160;5;144;396;-110;5
7;160;5;144;396;-100;6
7;160;5;144;396;-90;8
7;160;5;144;396;-80;10
7;160;5;144;396;-70;13
7;160;5;144;396;-60;20
7;160;5;144;396;-50;30
7;160;5;144;396;-40;46
7;160;5;144;396;-30;66
7;160;5;144;396;-20;93
7;160;5;144;396;-10;118
7;160;5;144;396;0;139
7;160;5;144;396;10;147
7;160;5;144;396;20;150
7;160;5;144;396;30;152
7;160;5;144;396;40;152
5;1;5;94;419;-120;3
5;1;5;94;419;-110;4
5;1;5;94;419;-100;6
5;1;5;94;419;-90;6
5;1;5;94;419;-80;7
5;1;5;94;419;-70;9
5;1;5;94;419;-60;14
5;1;5;94;419;-50;24
5;1;5;94;419;-40;43
5;1;5;94;419;-30;68
5;1;5;94;419;-20;90
5;1;5;94;419;-10;110
5;1;5;94;419;0;133
5;1;5;94;419;10;155
5;1;5;94;419;20;178
5;1;5;94;419;30;182
5;1;5;94;419;40;182
2;16;5;86;419;-120;1
2;16;5;86;419;-110;2
2;16;5;86;419;-100;2
2;16;5;86;419;-90;3
2;16;5;86;419;-80;5
2;16;5;86;419;-70;6
2;16;5;86;419;-60;13
2;16;5;86;419;-50;26
2;16;5;86;419;-40;38
2;16;5;86;419;-30;54
2;16;5;86;419;-20;74
2;16;5;86;419;-10;103
2;16;5;86;419;0;126
2;16;5;86;419;10;142
2;16;5;86;419;20;153
2;16;5;86;419;30;162
2;16;5;86;419;40;166
2;28;5;84;406;-120;2
2;28;5;84;406;-110;3
2;28;5;84;406;-100;4
2;28;5;84;406;-90;5
2;28;5;84;406;-80;6
2;28;5;84;406;-70;8
2;28;5;84;406;-60;19
2;28;5;84;406;-50;36
2;28;5;84;406;-40;51
2;28;5;84;406;-30;70
2;28;5;84;406;-20;88
2;28;5;84;406;-10;108
2;28;5;84;406;0;126
2;28;5;84;406;10;144
2;28;5;84;406;20;158
2;28;5;84;406;30;171
2;28;5;84;406;40;178
5;64;5;74;523;-120;4
5;64;5;74;523;-110;5
5;64;5;74;523;-100;6
5;64;5;74;523;-90;6
5;64;5;74;523;-80;10
5;64;5;74;523;-70;18
5;64;5;74;523;-60;34
5;64;5;74;523;-50;52
5;64;5;74;523;-40;70
5;64;5;74;523;-30;87
5;64;5;74;523;-20;102
5;64;5;74;523;-10;117
5;64;5;74;523;0;130
5;64;5;74;523;10;142
5;64;5;74;523;20;155
5;64;5;74;523;30;166
5;64;5;74;523;40;176
5;109;5;63;493;-120;2
5;109;5;63;493;-110;2
5;109;5;63;493;-100;3
5;109;5;63;493;-90;8
5;109;5;63;493;-80;21
5;109;5;63;493;-70;40
5;109;5;63;493;-60;58
5;109;5;63;493;-50;77
5;109;5;63;493;-40;96
5;109;5;63;493;-30;112
5;109;5;63;493;-20;130
5;109;5;63;493;-10;148
5;109;5;63;493;0;165
5;109;5;63;493;10;178
5;109;5;63;493;20;187
5;109;5;63;493;30;196
5;109;5;63;493;40;202
5;146;5;83;489;-120;2
5;146;5;83;489;-110;6
5;146;5;83;489;-100;16
5;146;5;83;489;-90;32
5;146;5;83;489;-80;51
5;146;5;83;489;-70;70
5;146;5;83;489;-60;86
5;146;5;83;489;-50;100
5;146;5;83;489;-40;118
5;146;5;83;489;-30;137
5;146;5;83;489;-20;149
5;146;5;83;489;-10;154
5;146;5;83;489;0;156
5;146;5;83;489;10;156
5;146;5;83;489;20;156
5;146;5;83;489;30;156
5;146;5;83;489;40;156
5;195;5;85;503;-120;3
5;195;5;85;503;-110;6
5;195;5;85;503;-100;10
5;195;5;85;503;-90;16
5;195;5;85;503;-80;24
